,accident_no,date,time,borough,location_1,injuries_fatalities,contributing_factors
0,66513,2017-01-03,1899-12-31T13:45:00.000,Bronx,Pelham Pkwy North,No,Following Too Closely
1,66516,2017-01-11,1899-12-31T12:10:00.000,Brooklyn,Nassau Ave / Monitor St,No,Traffic Control Disregarded
2,67642,2017-01-24,1899-12-31T13:30:00.000,Queens,Jamaica Ave / Woodhaven Blvd,No,Reaction to Uninvolved Vehicle
3,67643,2017-02-14,1899-12-31T13:00:00.000,Manhattan,6th Ave / Spring St,No,Unsafe Lane Changing
4,67644,2017-02-27,1899-12-31T16:02:00.000,Queens,56-17 56th Drive,No,N/A
5,69269,2017-04-03,1899-12-31T11:32:00.000,Manhattan,Broadway / W 151st St,No,Passing or Lane Usage Improper
6,69247,2017-04-04,1899-12-31T09:20:00.000,Brooklyn,Central Ave / Harman St,Yes,Traffic Control Disregarded
7,69270,2017-04-13,1899-12-31T23:05:00.000,Brooklyn,Knickerbocker Ave / Grove St,No,Aggressive Driving
8,69248,2017-04-25,N/A,Brooklyn,Maujer St / Lorimer St,No,Driver Inattention
9,70210,2017-05-03,1899-12-31T12:53:00.000,Bronx,2450 East Tremont Ave,Yes,Reaction to Uninvolved Vehicle
10,70209,2017-05-10,1899-12-31T11:20:00.000,Manhattan,Columbus Ave / W 81th St,No,Following Too Closely
11,70208,2017-05-25,1899-12-31T11:00:00.000,Brooklyn,Linden Blvd / Crescent St,No,Pavement Slippery / Following Too Closely
12,70847,2017-06-19,1899-12-31T14:00:00.000,Brooklyn,10 Saint Felix St,No,Passing or Lane Usage Improper
13,70864,2017-06-21,1899-12-31T17:50:00.000,Staten Island,385 Bay St,No,Backing Unsafely
14,70478,2017-06-22,1899-12-31T11:30:00.000,Brooklyn,112 Emerson Pl,No,N/A
15,70865,2017-06-23,1899-12-31T13:55:00.000,Staten Island,Seaver Ave / Hyland Blvd,No,Backing Unsafely
16,70848,2017-06-30,1899-12-31T10:45:00.000,Brooklyn,Throop Ave / Madison St,No,Turning Improperly
