,community_school_district,of_students_in_grades_6_8,of_students_in_grades_6_8_1,_,of_8th_graders,of_8th_graders_who_have,_2
0,1,2489,688,0.2764162,794,351,0.4420655
1,2,7441,2829,0.3801908,2421,1118,0.4617926
2,3,4151,1055,0.2541556,1369,489,0.357195
3,4,3060,1065,0.3480392,1031,488,0.4733269
4,5,2452,1021,0.4163948,897,445,0.4960981
5,6,5288,1991,0.3765129,1831,937,0.5117422
6,7,3768,1475,0.3914543,1353,682,0.504065
7,8,6098,3005,0.4927845,2126,1276,0.6001881
8,9,8199,2435,0.2969874,2837,942,0.3320409
9,10,11167,3730,0.3340199,3740,1373,0.3671123
10,11,9051,2443,0.2699149,3107,1489,0.4792404
11,12,5036,1986,0.3943606,1710,888,0.5192983
12,13,2117,520,0.2456306,738,224,0.303523
13,14,3738,1230,0.329053,1223,526,0.43009
14,15,5442,2176,0.399853,1753,836,0.4768968
15,16,1251,449,0.3589129,487,369,0.7577002
16,17,4981,2318,0.4653684,1799,986,0.5480823
17,18,3570,1470,0.4117647,1335,758,0.5677903
18,19,5031,2722,0.5410455,1791,926,0.5170296
19,20,11539,7613,0.6597626,3768,2745,0.7285032
20,21,8700,5198,0.5974712,2874,1974,0.6868476
21,22,6317,3961,0.6270381,2137,1529,0.715489
22,23,2758,1285,0.4659173,965,561,0.5813472
23,24,12702,4569,0.3597071,4230,2009,0.4749409
24,25,7879,4381,0.556035,2545,1501,0.5897839
25,26,5924,2042,0.3446995,1980,1045,0.5277778
26,27,10901,7220,0.6623245,3625,3071,0.8471724
27,28,7340,4799,0.6538147,2437,1783,0.7316372
28,29,6794,3445,0.5070651,2260,1636,0.7238938
29,30,9760,6706,0.6870902,3184,2450,0.7694724
30,31,12857,7492,0.5827176,4341,3089,0.7115872
31,32,3365,1432,0.4255572,1175,700,0.5957447
32,75,4439,1482,0.333859,1501,551,0.3670886
