,school_year,city_council_district,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_15_16_june_and_august,of_15_16_june_and_august_1,__1
0,2015-16,1,11885,8127,0.684,2511,2510,1.0
1,2015-16,2,8545,6809,0.797,1838,1836,0.999
2,2015-16,3,14572,9968,0.684,3183,3179,0.999
3,2015-16,4,2302,1862,0.809,474,474,1.0
4,2015-16,5,2479,1384,0.558,524,479,0.914
5,2015-16,6,6364,3020,0.475,1323,1323,1.0
6,2015-16,7,1615,987,0.611,322,322,1.0
7,2015-16,8,7000,4355,0.622,1237,1235,0.998
8,2015-16,9,5137,2296,0.447,902,897,0.994
9,2015-16,10,3485,2094,0.601,614,612,0.997
10,2015-16,11,10704,6323,0.591,2289,2289,1.0
11,2015-16,12,6376,3594,0.564,1131,1131,1.0
12,2015-16,13,6409,3554,0.555,1016,1016,1.0
13,2015-16,14,1361,781,0.574,263,262,0.996
14,2015-16,15,5619,3582,0.637,1035,1035,1.0
15,2015-16,16,6892,4685,0.68,1258,1258,1.0
16,2015-16,17,8697,5423,0.624,1403,1398,0.996
17,2015-16,18,5196,3880,0.747,906,900,0.993
18,2015-16,19,3487,3423,0.982,754,753,0.999
19,2015-16,20,8104,4832,0.596,1585,1583,0.999
20,2015-16,21,803,388,0.483,199,199,1.0
21,2015-16,22,2238,903,0.403,410,410,1.0
22,2015-16,23,7189,4106,0.571,1489,1489,1.0
23,2015-16,24,13841,8469,0.612,2835,2804,0.989
24,2015-16,25,3626,1215,0.335,514,514,1.0
25,2015-16,26,13799,9414,0.682,2866,2865,1.0
26,2015-16,27,2856,2008,0.703,503,502,0.998
27,2015-16,28,4765,2706,0.568,879,878,0.999
28,2015-16,29,5714,3558,0.623,1233,1233,1.0
29,2015-16,30,2626,647,0.246,468,468,1.0
30,2015-16,31,3018,2134,0.707,622,622,1.0
31,2015-16,32,4545,2110,0.464,1017,1017,1.0
32,2015-16,33,8626,6248,0.724,1760,1758,0.999
33,2015-16,34,4549,2675,0.588,965,965,1.0
34,2015-16,35,10919,6676,0.611,2551,2544,0.997
35,2015-16,36,2894,1570,0.543,420,419,0.998
36,2015-16,37,4442,3216,0.724,918,918,1.0
37,2015-16,38,1853,816,0.44,276,275,0.996
38,2015-16,39,2701,1644,0.609,537,517,0.963
39,2015-16,40,2994,2219,0.741,632,632,1.0
40,2015-16,41,2528,1773,0.701,494,494,1.0
41,2015-16,42,2501,1878,0.751,486,485,0.998
42,2015-16,43,9093,4195,0.461,1708,1708,1.0
43,2015-16,44,7253,4886,0.674,1393,1392,0.999
44,2015-16,45,5266,4172,0.792,1203,1203,1.0
45,2015-16,46,2691,1932,0.718,503,503,1.0
46,2015-16,47,7530,4812,0.639,1289,1288,0.999
47,2015-16,48,5833,2852,0.489,1042,1041,0.999
48,2015-16,49,4970,1769,0.356,822,822,1.0
49,2015-16,50,7892,4995,0.633,1773,1773,1.0
50,2015-16,51,5146,3802,0.739,1143,1125,0.984
51,,Total:,290930,180767,0.621,57518,57355,0.997
